"doc_id","text","ent_type","start_id","length","id"
"text1","Bridgewater","GPE",2,1,"45880818"
"text1","Wayne","GPE",7,1,"45880818"
"text1","Florida","GPE",2,1,"45879707"
"text1","Puerto Rico","GPE",5,2,"45876513"
"text1","the United States","GPE",6,3,"45873564"
"text1","the United States","GPE",6,3,"45873416"
"text1","South Carolina","GPE",2,2,"45872052"
"text1","South Carolina","GPE",5,2,"45871511"
"text1","Texas","GPE",6,1,"45867672"
"text1","Texas","GPE",6,1,"45867570"
"text1","the United States","GPE",6,3,"45866726"
"text1","South Carolina","GPE",7,2,"45862145"
"text1","Tennessee","GPE",5,1,"45855125"
"text1","Tennessee","GPE",2,1,"45855095"
"text1","South Carolina","GPE",2,2,"45852976"
"text1","Puerto Rico","GPE",2,2,"45851842"
"text1","ELEVENand","GPE",13,1,"45851842"
"text1","NY","GPE",21,1,"45851842"
"text1","Puerto Rico","GPE",2,2,"45851844"
"text1","Puerto Rico","GPE",2,2,"45851845"
"text1","Brewster","GPE",16,1,"45849057"
"text1","Haiti","GPE",2,1,"45848964"
"text1","North Carolina","GPE",2,2,"45848319"
"text1","North Carolina","GPE",2,2,"45848142"
"text1","Tennessee","GPE",2,1,"45847173"
"text1","MA","GPE",12,1,"45844197"
"text1","MA","GPE",12,1,"45844146"
"text1","Florida","GPE",2,1,"45843205"
"text1","Florida","GPE",2,1,"45843170"
"text1","KY","GPE",2,1,"45842916"
"text1","KY","GPE",2,1,"45842891"
"text1","KY","GPE",2,1,"45842728"
"text1","NJ","GPE",4,1,"45842728"
"text1","the United States","GPE",6,3,"45842133"
"text1","Muscat","GPE",2,1,"45841145"
"text1","Oman","GPE",6,1,"45841145"
"text1","US","GPE",21,1,"45841145"
"text1","Oman","GPE",2,1,"45840919"
"text1","the United States","GPE",6,3,"45840340"
"text1","Oman","GPE",5,1,"45840307"
"text1","Salukis","GPE",2,1,"45839998"
"text1","Muscat","GPE",9,1,"45839998"
"text1","China","GPE",6,1,"45839935"
"text1","the United States","GPE",6,3,"45839599"
"text1","the United States","GPE",6,3,"45839570"
